Timestamp,How old are you?,What is your faculty of study?,What year of study are you in?,What consumes most of your time? (Select all that apply),What is your gender,"How often are you on the internet? (time on social media, web browsing, video streaming, etc)",How often are you using the internet for school purposes?,How often do you use ChatGPT?,,Do you think that the use of ChatGPT could reduce the quality of education?,Which of the following educational purposes do you think ChatGPT should be used for? (Select all that apply),,What are some benefits of using ChatGPT for educational purposes? (Point form is fine),What are some limitations of using ChatGPT for educational purposes? (Point form is fine)
2/28/2023 20:00:40,16-19,Science,1st Year,"Working Part-Time (20 hours a week or less), Full-Time Student",Female,Often,Often,Sometimes,,In some ways,"Homework, Research, Questions about material",,"- can clarify assignments for students
- can help improve grammar",- it can be outdated 
3/2/2023 14:28:44,16-19,Business,1st Year,Full-Time Student,Female,Very often,Very Often,Rarely,,In some ways,Questions about material,,I terms of education ChatGPT can help with basic concept questions regarding homework. ,As far I know chatGPT does not provide sources for the information that it is providing. One can not truly know if the information is biased or not as well as what are it’s source it used to come to the conclusion it has.
3/2/2023 15:39:24,16-19,Science,1st Year,Full-Time Student,Female,Often,Very Often,I have never used ChatGPT,,In some ways,"Homework, Research, Assignments, Questions about material, Essays",,"- understanding material better if teachers are not good at explaining 
- finding new information and research to reinforce knowledge ","- cheating and not actually understanding anything 
- becoming reliant on the site and not making an effort to learn anymore "
3/5/2023 22:41:37,16-19,Engineering and Architecture,1st Year,Full-Time Student,Female,Very often,Very Often,Sometimes,,Not really,"Homework, Research, Assignments, Questions about material",,"- helps summarize some points if someone is confused 
- gives ideas for essays 
- helps with any questions someone has if the teacher is unavailable ",- sometimes the explanation is not the best 
3/5/2023 22:58:25,16-19,Science,1st Year,Full-Time Student,Female,Often,Very Often,Sometimes,,In some ways,"Homework, Online Assessments (tests/quizzes), Questions about material",,- quick answers,- answers aren’t always correct 
3/6/2023 12:14:37,16-19,Science,1st Year,Full-Time Student,Female,Very often,Often,I have never used ChatGPT,,In some ways,"Homework, Assignments, Questions about material",,-may help reduce the time spent researching questions ,"-can promote laziness
-doesnt help improve critical research skills"
3/6/2023 12:22:56,16-19,Science,1st Year,Full-Time Student,Female,Very often,Often,Rarely,,Yes,Questions about material,,A benefit of using ChatGPT is that you can use it as a reference or an outline to help you get started on your work.,•providing inaccurate answers 
3/6/2023 12:59:14,16-19,Science,1st Year,"Working Part-Time (20 hours a week or less), Full-Time Student",Male,Very often,Very Often,Sometimes,,Not really,"Homework, Assignments, Online Assessments (tests/quizzes), Questions about material",,the answers they give you are very detailed and allow students to actually understand since the AI provides great explanations. ,"If a question you are trying to find the answer for is very complexed, it might not have the exact answer you are looking for"
3/6/2023 14:14:51,16-19,Science,1st Year,Full-Time Student,Female,Very often,Very Often,Sometimes,,In some ways,"Homework, Research, Assignments, Questions about material",,"Useful resource, helpful outside of school, fast and efficient","can be unethical, reduces credibility of education"
3/6/2023 14:19:58,16-19,Science,1st Year,Full-Time Student,Female,Very often,Very Often,Sometimes,,Yes,"Research, Assignments, Questions about material",,"-The AI presents the answer to your questions cohesively and very quickly
-You can ask the AI to break a specific part of its response into steps that can further learning rather than going on a website with limited exact information ","-Can encourage cheating or laziness
-Information can’t be cited or can be inaccurate 
"
